# Constructed from biom file
#OTU ID	E2_T3_y2014_seqrunA	E5_T3_y2014_seqrunA	E7_T3_y2014_seqrunA	E9_T3_y2014_seqrunA	F10_T3_y2014_seqrunA	F2_T3_y2014_seqrunA	F3_T3_y2014_seqrunA	F4_T3_y2014_seqrunA
8f77512d23d87745df18f8d9f9c7730b	26.0	9.0	0.0	8.0	131.0	43.0	11.0	47.0
f177e4c8d32ac8a295ef75b3ae3e7e40	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
b01a44fe319c54563f7ce48d3aa74f85	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7cce9337eb976e351602a77affc22ad4	7.0	5.0	23.0	5.0	29.0	3.0	80.0	26.0
bc6363b949989ed164dfbc59ac2ffb72	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
14d59f0fa58ef8fc835deadcf4689b0d	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
70b536432d8a82337bf3a3af32ab352c	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0
adcc60e8dfd34d328e90fd7b22540ed4	0.0	0.0	5.0	5.0	0.0	0.0	0.0	0.0
adadaf4a36ba9a9718e0668298797fa2	2.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0
4f39d9116f68ecd0d6f631896f5f3510	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
b8350da9dba2aa958a80c9ef40fdd61f	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
9caddb3f6b00cd4a808ff3f6f5622a1c	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0
2a0578cf386c35d67802a3c6990249e1	73.0	108.0	53.0	0.0	29.0	53.0	32.0	121.0
1c919de5b6c57900f47a11d908ce3115	6.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0
72bd6e0c19908a94c989ade67d6f23de	1.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0
b971d9f1bcbee21de4219a5cea16e14c	0.0	0.0	0.0	0.0	0.0	3.0	3.0	0.0
62eccbdf8992e11375d4646b5130d89a	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8f76c7cbf785b97de7ff130d287cd015	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
a093c48d1880156d4e994f90bf576955	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
ed681bad80561b2db4a89667097d7d06	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
16b67f80eab70bc3630703cb12350b32	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0
08cb971af25f6d2903f9eaf603743ddf	28.0	0.0	13.0	0.0	3.0	0.0	0.0	0.0
2b4ee16767d816c46dff623f39759212	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
dba732153a5f88b3b88dc5b016424012	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
bbac12ac835f54729dce2b962c1746c0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
29d3a657e7d2511ef3536cd296eee46b	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
4f6ed50cedb83ca007538d6c3da4218c	2.0	0.0	0.0	0.0	2.0	6.0	1.0	5.0
86e22307bbfdd83f9b252ebcfaaf92e0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
1fd453b8fcad99ebbbbab23d54ca3a9a	1.0	2.0	0.0	1.0	0.0	1.0	0.0	0.0
5bd2b300ef5e3c6a85045d49a4ba4e43	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
48a69ddba84577ca0f4c692656b7d78b	0.0	0.0	113.0	36.0	0.0	0.0	0.0	0.0
efae48476924f85bc6056c685c8ff232	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
60a056c58fd5b07fbfa36ec7ad6bd69e	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0
7b5e8819880c7440ef1d66997dd9d816	0.0	0.0	3.0	1.0	0.0	0.0	0.0	0.0
c9dff88f89e9185811f76fe26cd89b46	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
e2a7ec531dd136e35823290a164c1aae	0.0	0.0	8.0	3.0	0.0	0.0	0.0	0.0
261aefe50d1f967d5cca64711f94da81	0.0	1.0	2.0	6.0	0.0	0.0	0.0	0.0
d185ed2f2657ea3f6510629b31523661	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
d4070bac13e810413c2d47761125e0fe	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
9fadaa31bfde8be8063e2e413609bbd0	0.0	1.0	0.0	0.0	0.0	4.0	0.0	1.0
